Post_text,success
"['cóż', 'móc', 'napisać', 'złapać', 'za', 'komórka', 'otworzyć', 'skrzynki', 'mailowy', 'wsiąść', 'wiek', 'samochód', 'i', 'pojechać', 'osoba', 'który', 'właśnie', 'chcieć', 'powiedzieć', 'jaka', 'wiele', 'znaczyć', 'dzień', 'czekać', 'punkt', 'strona', 'swoje', 'volkswagen', 'tenże', 'móc', 'powiedzieć', 'coś', 'miły']",39.375
"['zdecydować', 'mieć', 'zima', 'cza', 'widzieć', 'ktoś', 'gdzieś', 'wiosnę']",34.375
"['córka', 'z', 'fan', 'wysłać', 'wspaniały', 'prezent', 'jaka', 'siebie', 'podobać', 'dziękować']",29.125
"['dawny', 'zagadka', 'wiek', 'ramy', 'piątkowy', 'relaks', 'cały', 'tydzień', 'zapytać', 'pierwszeństwo', 'wiek', 'przypadek', 'a', 'jechać', 'następny']",29.875
"['który', 'kolor', 'volkswagena', 'up', 'siebie', 'podobać']",31.125
"['zobaczyć', 'pierwszy', 'nowy', 'spot', 'volkswagena', 'up', 'oficjalny', 'poniedziałkowy', 'premiera', 'telewizyjny', 'specjalnie', 'mały', 'wielki', 'pozostały', 'spot', 'volkswagena', 'up', 'móc', 'zobaczyć', 'kanał', 'youtube', 'HyperText_Transfer_Protocol', 'bit', 'ly', 'youtubevw']",9.875
"['idealny', 'śniadać', 'fan', 'volkswagena']",57.75
"['słodki', 'prezent', 'osłoda', 'wszystek', 'fan']",23.0
"['koncert', 'affabre', 'który', 'mieć', 'miejsce', 'wiek', 'teatr', 'wielki', 'wiek', 'poznać', 'musieć', 'zobaczyć', 'szczególnie', 'ubawić', 'utwór', 'only', 'you', 'finał', 'zaskakiwać']",2.625
"['hmmm', 'jaka', 'model', 'vw', 'zaparkować']",117.75
"['widzieć', 'wersja', 'specjalny', 'nowy', 'tiguana', 'przedstawiać', 'cityline', 'oraz', 'citystyle', 'oba', 'model', 'idealny', 'wymagać', 'kierowca']",14.0
"['volkswagen', 'golf', 'zostać', 'wybrać', 'internetowy', 'samochód', 'rok', 'wiek', 'kategoria', 'samochód', 'używać', 'tuż', 'za', 'znaleźć', 'siebie', 'vw', 'passat', 'jaka', 'siebie', 'okazać', 'volkswagen', 'często', 'wyszukiwać', 'marka', 'wiek', 'serwis', 'otomoto', 'plac', 'dziękować', 'za', 'zaufać']",21.875
"['city', 'box', 'travel', 'box', 'kid', 'box', 'nowy', 'volkswagen', 'up', 'zdecydować', 'ułatwiać', 'żyto', 'jeszcze', 'który', 'z', 'boxów', 'by', 'siebie', 'przydać']",14.0
"['prawda', 'wakacje', 'jeszcze', 'ale', 'móc', 'ktoś', 'zainteresować', 'volkswagen', 'wiek', 'wersja', 'namiotowy', 'wiek', 'raz', 'wielbiciel', 'biwakować']",30.875
"['długi', 'model', 'z', 'zdjęcie', 'główny', 'bohater', 'fan', 'page', 'a', 'czujny', 'przygotowywać', 'coś', 'naprawdę', 'wyjątkowy']",38.875
"['volkswagen', 'golf', 'mk', 'zaraza', 'zaraza', 'wycieraczka']",57.875
"['słynny', 'ogórek', 'z', 'i', 'wszędzie', 'móc', 'czucie', 'siebie', 'jaka', 'wiek', 'dom']",10.75
"['za', 'wprowadzić', 'znak', 'parking', 'niech', 'klikać', 'lubić']",58.0
"['czas', 'trzeba', 'siebie', 'poświęcić']",8.25
"['kolejny', 'gadżet', 'fan', 'volkswagena', 'zdjąć', 'nadesłać', 'przez', 'z', 'fan', 'wiek', 'raz', 'wakacje']",14.875
"['robić', 'wiek', 'dzieciństwo', 'orzełek', 'śnieg']",10.25
"['przyjść', 'czas', 'aby', 'skonfigurować', 'swoje', 'własny', 'volkswagena', 'up', 'móc', 'zrobić', 'strona', 'HyperText_Transfer_Protocol', 'bit', 'ly', 'npbo', 'wersja', 'wybierać', 'wiek', 'kolorystyka']",28.0
