,success,outside,power,rachel,innovative,math,technical,unnatürlich,unsustainable,inside,protective,names,lustig,friendship,see,arts,arts,winner,names,show,performance
names,-0.11050523754196512,-0.5346831255729311,-0.32110815205586,-0.302197885203437,-0.302197885203437,-0.12854006432715953,-0.4592743520407746,-0.38418103785772195,-0.2197553136586613,-0.4122694164833378,-0.6156833942314117,1.0,0.1545489826183465,0.16115483820262322,0.20752750101342482,0.4517453302921271,0.4517453302921271,0.6040394080639973,0.7983152520314029,0.47765941005638957,0.5615169907948209
lustig,-0.1118647255588639,-0.05858391857594562,-0.12238910703544877,-0.21759346446547953,-0.21759346446547953,0.07652968721280677,-0.1727335693279146,-0.013035782822726716,-0.07610492141881892,-0.005253840018656435,0.0828796937391317,0.1545489826183465,1.0,0.7739213879305668,0.7603528165466807,0.7294786832955122,0.7294786832955122,0.20850758203398412,0.2869016239637809,0.5895498316705274,0.278259295229933
friendship,-0.11492104210045521,-0.06771892884327552,-0.12635057134165303,-0.49601499186265546,-0.49601499186265546,0.16237079768321008,-0.4235422540355154,-0.14407090220648358,-0.1972753316859798,0.005855436911571174,-0.007874710777147633,0.16115483820262322,0.7739213879305668,1.0,0.6603460359125357,0.6019851246490331,0.6019851246490331,0.3713801238868415,0.33741669097586297,0.38872849088742484,0.1915215443753796
see,-0.11678247133064062,0.008044089373911054,-0.03029366005845611,-0.21806078261432177,-0.21806078261432177,0.13049124233887077,-0.15651834594085873,0.004611590481743295,0.01675331111199578,0.1130064300416948,0.09544483902668627,0.20752750101342482,0.7603528165466807,0.6603460359125357,1.0,0.7380517738692346,0.7380517738692346,0.38187862365081987,0.28115084475937574,0.7464902412748907,0.49639701500142386
arts,-0.11941009473130658,-0.09438711340011469,-0.13125913449898202,-0.18817151644433414,-0.18817151644433414,0.1241762232410945,-0.20873002570829619,-0.09325139531834493,-0.03283049474718004,-0.01273580105616334,-0.1144083751780454,0.4517453302921271,0.7294786832955122,0.6019851246490331,0.7380517738692346,1.0,1.0,0.3939486881822292,0.4493469042844427,0.8183391859920764,0.5242304166561754
arts,-0.11941009473130658,-0.09438711340011469,-0.13125913449898202,-0.18817151644433414,-0.18817151644433414,0.1241762232410945,-0.20873002570829619,-0.09325139531834493,-0.03283049474718004,-0.01273580105616334,-0.1144083751780454,0.4517453302921271,0.7294786832955122,0.6019851246490331,0.7380517738692346,1.0,1.0,0.3939486881822292,0.4493469042844427,0.8183391859920764,0.5242304166561754
winner,-0.1253928144919364,-0.35112450194683736,-0.1541768732905127,-0.39643445578229347,-0.39643445578229347,0.26027476195582355,-0.45190030043092816,-0.2835671817574276,-0.07664497832615037,-0.17115192208103353,-0.3691434560449724,0.6040394080639973,0.20850758203398412,0.3713801238868415,0.38187862365081987,0.3939486881822292,0.3939486881822292,1.0,0.6780437939205758,0.4466545044747072,0.5545314371673887
names,-0.14083403971760855,-0.5651822434064409,-0.446421444663124,-0.43761801475177164,-0.43761801475177164,-0.03122719971714902,-0.5058181462730004,-0.5146391651447246,-0.3093274771599962,-0.4620182937301817,-0.5736800180674386,0.7983152520314029,0.2869016239637809,0.33741669097586297,0.28115084475937574,0.4493469042844427,0.4493469042844427,0.6780437939205758,1.0,0.4634573458321392,0.5750394784983248
show,-0.14472643413661349,-0.19921183060135988,-0.19383295009921983,-0.12585572611618415,-0.12585572611618415,-0.07914240862864813,-0.12675417440220157,-0.18508432404659825,-0.07651792769491417,-0.11847368163031835,-0.1538936014476849,0.47765941005638957,0.5895498316705274,0.38872849088742484,0.7464902412748907,0.8183391859920764,0.8183391859920764,0.4466545044747072,0.4634573458321392,1.0,0.8284261786808188
performance,-0.1781374636385975,-0.479566850271149,-0.3884243742860412,-0.28853951624124224,-0.28853951624124224,-0.287413654871583,-0.3040441848987854,-0.47348082518722107,-0.29746474084643076,-0.39779316185697666,-0.45209405702485866,0.5615169907948209,0.278259295229933,0.1915215443753796,0.49639701500142386,0.5242304166561754,0.5242304166561754,0.5545314371673887,0.5750394784983248,0.8284261786808188,1.0
