,success,culture,names,rachel,innovative,teaching,names,science,names,community,aktiv,unkompliziert,indulgent,above,bargain,uncool,ernst,untrustworthy,unwirksam,below,restrictive
aktiv,0.04222120630645279,0.6309554985351263,0.043772480664568826,0.47091302429422477,0.47091302429422477,0.6799325049690571,-0.28553106151194174,0.6868609772250478,-0.1034794515338839,0.6082182686931532,1.0,0.511237479328593,0.44495247929666226,0.1763573204113689,-0.20577966164957645,0.364685035971771,0.5061834669391531,0.24325794870229403,0.3140908633346006,-0.009038887933732042,0.12850858449422486
unkompliziert,-0.04075251989001612,0.1342301422136772,-0.4610512845474445,0.4385320581441777,0.4385320581441777,0.4931263901687686,-0.4017924443989639,0.5230787290943882,-0.5259348073719861,0.23510255610622194,0.511237479328593,1.0,0.722149677124441,0.4956617202567176,-0.1783401294322019,0.781011793457155,0.794387150037741,0.5355806973984147,0.6764705969897985,0.5844259767054322,0.702136314050452
indulgent,-0.041865881280315716,0.3670188235012732,-0.16606920276952356,0.10384816896018875,0.10384816896018875,0.40397830121469536,-0.26345959494250865,0.24142432987712015,-0.1842145139335879,0.20406233432511392,0.44495247929666226,0.722149677124441,1.0,0.4549252772450914,-0.03184907326802997,0.5658862146097786,0.6776080085418078,0.5114450050097883,0.48800939905680246,0.4715622523571251,0.48557355021273235
above,-0.04227231515572102,0.16185770702054833,-0.13881303487325872,-0.2288456048562134,-0.2288456048562134,0.5333724371458806,-0.32057930821232594,0.217408747317502,-0.2333607044617661,0.42761615251861335,0.1763573204113689,0.4956617202567176,0.4549252772450914,1.0,-0.19585523835555527,0.6641055279220375,0.713820074244279,0.8163155867633164,0.8290474700005148,0.8109894566389804,0.6106731775900445
bargain,-0.04501394075459083,-0.24589938294151525,-0.24356486781799028,-0.05863455427826543,-0.05863455427826543,-0.33359791827901325,-0.2277139612289042,-0.32890149806318386,-0.21428059024743945,-0.3103866002282629,-0.20577966164957645,-0.1783401294322019,-0.03184907326802997,-0.19585523835555527,1.0,-0.20092115422587542,-0.2900711159514099,-0.26986959927323945,-0.20598314733832243,-0.04643491842151334,-0.13576887593062484
uncool,-0.045419974768189354,0.02046127760184468,-0.4472106499572418,0.219132082451004,0.219132082451004,0.49756282463639845,-0.2830720902317523,0.4635471204847542,-0.48114229386241064,0.17525870512118158,0.364685035971771,0.781011793457155,0.5658862146097786,0.6641055279220375,-0.20092115422587542,1.0,0.8575325577314384,0.6157783208809374,0.822433945558865,0.7216631507758982,0.8437642595421919
ernst,-0.04931869689485964,0.3058948854753265,-0.20902258050265488,0.06619440300390947,0.06619440300390947,0.7037496405213689,-0.22644520136629667,0.4864351856950575,-0.2624050030787911,0.4330172673508948,0.5061834669391531,0.794387150037741,0.6776080085418078,0.713820074244279,-0.2900711159514099,0.8575325577314384,1.0,0.7553840876457589,0.8788669666418066,0.5803200638973204,0.7569665386220245
untrustworthy,-0.052731121718424714,0.25557411845478145,-0.09895843586622867,-0.1982319713080251,-0.1982319713080251,0.5678453891072115,-0.24259915395309622,0.2527605013338572,-0.14794358822593623,0.4381950014487266,0.24325794870229403,0.5355806973984147,0.5114450050097883,0.8163155867633164,-0.26986959927323945,0.6157783208809374,0.7553840876457589,1.0,0.7742747709331311,0.6109686290557886,0.5468287019620623
unwirksam,-0.06083351299980955,0.09190384449601073,-0.25887233765251366,-0.006180018058557386,-0.006180018058557386,0.6054827105143192,-0.2855578026462474,0.40120882105981825,-0.3205406090229398,0.4036564698885415,0.3140908633346006,0.6764705969897985,0.48800939905680246,0.8290474700005148,-0.20598314733832243,0.822433945558865,0.8788669666418066,0.7742747709331311,1.0,0.6813142899980996,0.783846536898254
below,-0.06670867843028057,-0.17903630764682527,-0.4291742998711977,-0.04378428334895173,-0.04378428334895173,0.2007660245642971,-0.38692628369185267,0.10739769329610963,-0.48704748670278586,0.045372622236158705,-0.009038887933732042,0.5844259767054322,0.4715622523571251,0.8109894566389804,-0.04643491842151334,0.7216631507758982,0.5803200638973204,0.6109686290557886,0.6813142899980996,1.0,0.7000242575535075
restrictive,-0.06818810515339244,-0.1874688851085899,-0.55585354454666,0.12966991070221148,0.12966991070221148,0.3049641296398966,-0.23355817287963498,0.28253543483952076,-0.5308567399362175,0.0611785032546061,0.12850858449422486,0.702136314050452,0.48557355021273235,0.6106731775900445,-0.13576887593062484,0.8437642595421919,0.7569665386220245,0.5468287019620623,0.783846536898254,0.7000242575535075,1.0
