,success,new,innovative,rachel,unsustainable,modern,modern,bargain,expensive,power,positive,family,above,impractical,male,female,lustig,names,collar,collar,friendship
positive,0.07778570418923064,0.41552076693096973,0.3149820991507934,0.3149820991507934,0.6091085672579831,0.579929980090025,0.579929980090025,-0.13609765978904875,0.6989252929567621,0.651042422826549,1.0,0.4448041069595036,0.5227701834867517,0.3640418267615976,0.3683112642879042,0.34687483421061194,0.2429738686754132,-0.3754766137762093,0.27663961866143133,0.11082427995705588,0.18597866988598716
family,-0.0657979719786494,0.1412745699337109,-0.4240098601607906,-0.4240098601607906,0.13541010777288048,0.1756586714672554,0.1756586714672554,-0.2942250081322557,0.21902097135866105,0.20671282598176852,0.4448041069595036,1.0,0.6464588611998968,0.6075493084625139,0.9358184395586703,0.9528785299064347,0.6224986597331876,0.2837352244503341,0.6581382352010016,0.1763039872145477,0.8128165959234384
above,-0.06633586682770226,0.14250318500965659,-0.24675720598584625,-0.24675720598584625,0.25674109761402464,0.1952635530251711,0.1952635530251711,-0.1952972490973442,0.3136542932898357,0.46556010897148054,0.5227701834867517,0.6464588611998968,1.0,0.6547462595270386,0.6499325448072946,0.5844467535577826,0.3619308760776396,-0.1197604760272112,0.4264222802368185,0.19801300999511212,0.5030308879146141
impractical,-0.06898640787305563,0.31174157292385657,-0.05869632812014064,-0.05869632812014064,0.2443487354867,0.4062973182880609,0.4062973182880609,-0.389909201321558,0.23107860674064515,0.2835109341897751,0.3640418267615976,0.6075493084625139,0.6547462595270386,1.0,0.5385920423445956,0.5204086876890351,0.6916409659108655,0.018534383207349087,0.5567673567169829,0.10232467388910484,0.5124630664649052
male,-0.07010271179726661,0.11384635377523834,-0.4566675403725847,-0.4566675403725847,0.09274602814842758,0.08636827334222788,0.08636827334222788,-0.3191213378845988,0.15421762159438224,0.22550652784535086,0.3683112642879042,0.9358184395586703,0.6499325448072946,0.5385920423445956,1.0,0.9329826020590407,0.5448781873418468,0.35399473181663943,0.5932702152587881,0.2405580443548569,0.7549174733254173
female,-0.07977319991171354,0.07581501375828777,-0.5080600255844571,-0.5080600255844571,-0.00744769014244504,0.07095872285147506,0.07095872285147506,-0.274828396507506,0.12910287999161893,0.1141358579117071,0.34687483421061194,0.9528785299064347,0.5844467535577826,0.5204086876890351,0.9329826020590407,1.0,0.6343383034459953,0.3773612613410845,0.5774717776764131,0.1239656801398398,0.8332535643998276
lustig,-0.10107352744226086,0.10851124433106041,-0.21559449117037552,-0.21559449117037552,-0.0842988321449352,0.23570924817971642,0.23570924817971642,-0.3329083605955991,0.09478124346279009,-0.07555050334832746,0.2429738686754132,0.6224986597331876,0.3619308760776396,0.6916409659108655,0.5448781873418468,0.6343383034459953,1.0,0.31328724089788923,0.42547867719499516,-0.034765837261080366,0.7454696476906826
names,-0.10136020995433652,-0.1460741044799566,-0.40954103969065125,-0.40954103969065125,-0.20028078479571448,-0.2242901815932581,-0.2242901815932581,-0.3386329072174579,-0.4269779480033976,-0.38799032177302284,-0.3754766137762093,0.2837352244503341,-0.1197604760272112,0.018534383207349087,0.35399473181663943,0.3773612613410845,0.31328724089788923,1.0,0.3066742015219344,0.010863449524931743,0.3604661081733349
collar,-0.10215048184496847,0.023640149271114724,-0.1819860236327491,-0.1819860236327491,0.18980568967547576,0.18031779443197546,0.18031779443197546,-0.4119832055487501,0.18537585661362227,0.020926110777780664,0.27663961866143133,0.6581382352010016,0.4264222802368185,0.5567673567169829,0.5932702152587881,0.5774717776764131,0.42547867719499516,0.3066742015219344,1.0,0.3507500740491018,0.5027223141048158
collar,-0.10340910293457167,0.013638786861946323,-0.07483071718233196,-0.07483071718233196,0.06667239707094597,0.0014246209671717291,0.0014246209671717291,-0.2561124502596142,0.3284827248533082,0.16503895585618428,0.11082427995705588,0.1763039872145477,0.19801300999511212,0.10232467388910484,0.2405580443548569,0.1239656801398398,-0.034765837261080366,0.010863449524931743,0.3507500740491018,1.0,0.1056206526018201
friendship,-0.10613743767278294,0.030420736099623806,-0.5275067802938357,-0.5275067802938357,-0.21484259459417346,0.014503718760391797,0.014503718760391797,-0.1976344288328525,0.08264149934755013,-0.09221600047826908,0.18597866988598716,0.8128165959234384,0.5030308879146141,0.5124630664649052,0.7549174733254173,0.8332535643998276,0.7454696476906826,0.3604661081733349,0.5027223141048158,0.1056206526018201,1.0
