,success,expensive,volkswagen,weapon,valuable,inside,outside,below,big,collar,male,lustig,sympathisch,unsustainable,TheHero,aktiv,appetitlich,see,culture,names,descriptive
male,0.5492138339646355,0.6202955981960487,0.46359711480431737,0.7735569810343542,0.9253930803413664,0.95853060842108,0.9324083522745353,0.9219252187114984,0.7204959307735007,0.5781342981666648,1.0,-0.23310811643269128,-0.13805355842522532,0.21626116213432917,0.399848463091396,-0.6923320478726281,-0.4109080813583047,-0.5585509325737938,-0.3302980246677261,-0.7609391833869358,-0.5735162258904738
lustig,-0.3800055909335821,-0.13392669876195942,-0.6766635241585516,0.1268149264970773,-0.14404618478891518,-0.38661780959888875,-0.14215589748039945,-0.05090189836716689,0.0374836621039628,0.01660615242176011,-0.23310811643269128,1.0,0.8794247529939391,0.49544248656325357,0.580404588103806,0.681301287296858,0.7131461284088826,0.8343704915054629,0.05662872573778872,0.13969935530425745,0.902690025285438
sympathisch,-0.4014452508483744,-0.2731454899256061,-0.7506849645742778,0.11440625220706628,-0.011357330085871135,-0.29254858137500056,-0.18727018412650395,0.11472961745442405,-0.131929231741804,0.2938371917386633,-0.13805355842522532,0.8794247529939391,1.0,0.33804216902468454,0.5474313146545929,0.42639037394286894,0.6243889807747831,0.5602992758574358,-0.21856636447985145,-0.04167988619385012,0.7030840012727756
unsustainable,-0.4022506814659568,0.20391691749418617,-0.5459364419685396,-0.02407847508835175,0.18109666459241824,0.1504062177293949,0.35292380585732075,0.05883711169815113,0.4590211567156115,-0.36997981696109494,0.21626116213432917,0.49544248656325357,0.33804216902468454,1.0,0.8561142332558745,0.39047338730602527,0.6059207607928638,0.25289259889948634,0.6429104688288116,-0.21944838084336674,0.4380787798084807
TheHero,-0.4134971950663374,0.01059478655320724,-0.4854647430744965,0.22824610118754127,0.2841763327632687,0.2130553761133101,0.37925429464612104,0.3144403273927302,0.32668630491055817,-0.017935825954526776,0.399848463091396,0.580404588103806,0.5474313146545929,0.8561142332558745,1.0,0.09884708454509535,0.3529134327064911,0.27127646224636487,0.2234499468329089,-0.20087891827266222,0.4134401385928347
aktiv,-0.41753984706268776,-0.10305855892097238,-0.6555228956601971,-0.4148499014206951,-0.5285064028251673,-0.6635010884439727,-0.4436280578488848,-0.6112151050849787,-0.08429240639391095,-0.5390913466933923,-0.6923320478726281,0.681301287296858,0.42639037394286894,0.39047338730602527,0.09884708454509535,1.0,0.8663923943479721,0.7638449663475708,0.563357919182034,0.3572235676997111,0.8443264825534275
appetitlich,-0.41812041944720724,0.020644601261335348,-0.8377069716829082,-0.31171172941156766,-0.18505874623177515,-0.3784363150594816,-0.21383097758535755,-0.3071412480017758,0.08140119571117267,-0.3185919667030993,-0.4109080813583047,0.7131461284088826,0.6243889807747831,0.6059207607928638,0.3529134327064911,0.8663923943479721,1.0,0.5143052140610919,0.49948123627772406,-0.05111763576071139,0.726961956193095
see,-0.4487871828940675,-0.3354412762903539,-0.4762238297679041,-0.11081611213821932,-0.5648816462041305,-0.7000296642600613,-0.4352701347706706,-0.4505634368314728,-0.21500340127606582,-0.3137984546453742,-0.5585509325737938,0.8343704915054629,0.5602992758574358,0.25289259889948634,0.27127646224636487,0.7638449663475708,0.5143052140610919,1.0,0.2002182466067372,0.6128000659116065,0.9449754423287254
culture,-0.4720219677165104,0.017127809597358153,-0.37567066813149097,-0.6061672831302536,-0.371746674864048,-0.2500718253822086,-0.11277672504657824,-0.5919537630821351,0.10107393621762241,-0.9135643267562088,-0.3302980246677261,0.05662872573778872,-0.21856636447985145,0.6429104688288116,0.2234499468329089,0.563357919182034,0.49948123627772406,0.2002182466067372,1.0,0.23533186899106537,0.321494731445586
names,-0.5874057247929003,-0.7536362002947888,-0.15442050502616586,-0.5708202235691645,-0.9356430210022582,-0.85306623234496,-0.7871012730539041,-0.8136337645152345,-0.7314650047016034,-0.591211470939433,-0.7609391833869358,0.13969935530425745,-0.04167988619385012,-0.21944838084336674,-0.20087891827266222,0.3572235676997111,-0.05111763576071139,0.6128000659116065,0.23533186899106537,1.0,0.49653863185387725
descriptive,-0.6149632424878608,-0.3757822162165051,-0.7328097118303424,-0.24869560945547395,-0.5350909739725105,-0.7013155575795137,-0.4582743120049568,-0.4677922980595031,-0.2295899419323701,-0.36409633883592446,-0.5735162258904738,0.902690025285438,0.7030840012727756,0.4380787798084807,0.4134401385928347,0.8443264825534275,0.726961956193095,0.9449754423287254,0.321494731445586,0.49653863185387725,1.0
