,success,new,rachel,innovative,design,cold,indulgent,trendy,small,unkompliziert,traditional,arts,arts,show,performance,winner,unpleasant,collar,names,names,names
traditional,0.07533453938620668,0.5485590118831895,0.48166913969577724,0.48166913969577724,0.7850018718620337,0.6728393840156535,0.6754217750170605,0.7933870377412827,0.5351043205256171,0.5853730813199176,1.0,0.47859514880698123,0.47859514880698123,0.4022999501305906,0.11090090621443975,-0.05446348484335538,0.21902676866275034,0.05718152571296843,0.010356300469574939,0.03552671521006056,-0.11185608673532317
arts,-0.017904067847574482,0.23547761744651313,-0.1433922540655999,-0.1433922540655999,0.2157852853278072,0.010799152938181565,0.32535328861266277,0.5415001103522131,-0.10518898255823027,0.022219333236786213,0.47859514880698123,1.0,1.0,0.8314096201630421,0.6271361469617769,0.45223010766688065,0.33652295693093315,0.2833191791193535,0.3968906696564148,0.5548414719613021,0.48577040527152043
arts,-0.017904067847574482,0.23547761744651313,-0.1433922540655999,-0.1433922540655999,0.2157852853278072,0.010799152938181565,0.32535328861266277,0.5415001103522131,-0.10518898255823027,0.022219333236786213,0.47859514880698123,1.0,1.0,0.8314096201630421,0.6271361469617769,0.45223010766688065,0.33652295693093315,0.2833191791193535,0.3968906696564148,0.5548414719613021,0.48577040527152043
show,-0.022967748249006888,0.23191978440049538,-0.0692372682542848,-0.0692372682542848,0.2072489819556982,0.010656717206434355,0.29973681252557166,0.510642202910796,-0.17562674174654036,-0.029649535797330418,0.4022999501305906,0.8314096201630421,0.8314096201630421,1.0,0.8586720980793938,0.5086628426180069,0.18565220121144255,0.21350028253418912,0.44056149541217604,0.5383336458270087,0.47932550035698307
performance,-0.023836243277924902,0.07236305984309585,-0.19846279286253263,-0.19846279286253263,-0.08467835391630868,-0.27840143311812354,0.06369137622663532,0.30139988833330034,-0.4219227117520275,-0.34629237308768407,0.11090090621443975,0.6271361469617769,0.6271361469617769,0.8586720980793938,1.0,0.6087983643451913,0.02324996842424748,0.025437907685204833,0.4904589178572548,0.5720289869003199,0.5340365402798378
winner,-0.030310615352466173,0.147685243744082,-0.32012849590164627,-0.32012849590164627,-0.2611901475317505,-0.2999539302358643,0.06766629816948097,0.21240644700923497,-0.293514024830018,-0.26701180146700065,-0.05446348484335538,0.45223010766688065,0.45223010766688065,0.5086628426180069,0.6087983643451913,1.0,0.28081033332335137,0.2626248884852743,0.4606052258857255,0.524607622975017,0.5956645596217467
unpleasant,-0.03287417057779863,0.38131114911428726,-0.3143497111946667,-0.3143497111946667,0.10301003926174772,0.20941704533261055,0.4180701911047426,0.2891789419208615,0.38058193632372955,0.3331986627019944,0.21902676866275034,0.33652295693093315,0.33652295693093315,0.18565220121144255,0.02324996842424748,0.28081033332335137,1.0,0.29692791970384375,0.16020397374940315,0.10022906026764407,0.13848306478296024
collar,-0.03575820288195826,0.17887002458611556,0.012036463533293162,0.012036463533293162,0.11474153811937686,0.21824664728992335,0.09186713711536203,0.1845075082251889,0.100784819322924,0.21794950102264643,0.05718152571296843,0.2833191791193535,0.2833191791193535,0.21350028253418912,0.025437907685204833,0.2626248884852743,0.29692791970384375,1.0,0.0785168476224205,0.10743513098686332,0.2632224710356579
names,-0.03819566349558923,0.009084114149467883,-0.18895705178493022,-0.18895705178493022,-0.1833139551935444,-0.2802801146060132,-0.12305120373960057,0.05801027599307913,-0.45462663522704405,-0.39024446292425097,0.010356300469574939,0.3968906696564148,0.3968906696564148,0.44056149541217604,0.4904589178572548,0.4606052258857255,0.16020397374940315,0.0785168476224205,1.0,0.881812478136627,0.6602304982111266
names,-0.05171553543753382,-0.015101608323470175,-0.2507119216111073,-0.2507119216111073,-0.21755193705508666,-0.36469066409410944,-0.1281488885052607,0.11245901204969261,-0.5515780551543575,-0.46649912019388184,0.03552671521006056,0.5548414719613021,0.5548414719613021,0.5383336458270087,0.5720289869003199,0.524607622975017,0.10022906026764407,0.10743513098686332,0.881812478136627,1.0,0.7814767400884814
